Teff,logg,source
8200.00,3.8972,physics
8200.00,4.6028,physics
8200.00,4.9555,physics
8300.00,3.5445,physics
8300.00,3.8972,physics
8300.00,4.6028,physics
8300.00,4.9555,physics
8400.00,3.5445,physics
8400.00,3.8972,physics
8400.00,4.6028,physics
8400.00,4.9555,physics
8500.00,3.5445,physics
8500.00,3.8972,physics
8500.00,4.6028,physics
8500.00,4.9555,physics
8600.00,3.5445,physics
8600.00,3.8972,physics
8600.00,4.6028,physics
8600.00,4.9555,physics
8700.00,3.5445,physics
8700.00,3.8972,physics
8700.00,4.6028,physics
8700.00,4.9555,physics
8800.00,3.5445,physics
8800.00,3.8972,physics
8800.00,4.6028,physics
8800.00,4.9555,physics
8900.00,3.5445,physics
8900.00,3.8972,physics
8900.00,4.2500,physics
8900.00,4.6028,physics
8900.00,4.9555,physics
