Teff,logg
8421.05,4.0346
8463.16,4.0885
8252.63,4.1154
8252.63,4.5731
8421.05,4.0885
8757.89,4.3308
8210.53,4.6000
8421.05,4.5731
8715.79,4.2769
8294.74,4.5462
8463.16,4.5731
8294.74,4.0885
8757.89,4.6000
8589.47,4.6000
8378.95,4.0615
8547.37,4.5731
8421.05,4.0615
8378.95,4.0346
8336.84,3.9538
8757.89,4.3038
8757.89,4.2769
8042.11,4.1423
8336.84,3.9269
8336.84,3.9808
8505.26,4.5731
8378.95,4.5731
8168.42,4.1154
8126.32,4.1154
8336.84,4.5731
8336.84,4.0615
8336.84,3.9000
8336.84,4.0077
8294.74,4.5731
8084.21,4.1154
8252.63,4.0885
8210.53,4.1154
8252.63,4.6000
8294.74,3.9538
8294.74,3.9269
8042.11,4.0885
8294.74,3.9000
8042.11,4.1154
8547.37,4.6000
8294.74,3.9808
8421.05,4.6000
8336.84,4.0346
8294.74,4.0615
8042.11,4.0615
8210.53,4.0885
8463.16,4.6000
8252.63,4.0615
8378.95,4.6000
8294.74,4.0077
8252.63,3.9538
8505.26,4.6000
8294.74,4.6000
8252.63,3.9269
8042.11,4.0346
8336.84,4.6000
8252.63,3.9808
8126.32,4.0885
8168.42,4.0885
8252.63,3.9000
8084.21,4.0885
8294.74,4.0346
8210.53,4.0615
8252.63,4.0077
8084.21,4.0615
8042.11,4.0077
8252.63,4.0346
8168.42,4.0615
8126.32,4.0615
8210.53,3.9538
8210.53,3.9269
8084.21,4.0346
8210.53,3.9808
8210.53,3.9000
8210.53,4.0346
8042.11,3.9808
8210.53,4.0077
8168.42,4.0346
8126.32,4.0346
8084.21,4.0077
8168.42,3.9538
8168.42,4.0077
8042.11,3.9538
8168.42,3.9269
8168.42,3.9808
8126.32,4.0077
8084.21,3.9808
8168.42,3.9000
8126.32,3.9269
8126.32,3.9538
8126.32,3.9000
8126.32,3.9808
8042.11,3.9269
8084.21,3.9538
8084.21,3.9269
8084.21,3.9000
8042.11,3.9000
8757.89,4.4923
8042.11,4.4923
8042.11,4.0077
8757.89,4.0077
8715.79,4.0077
8084.21,4.4923
8715.79,4.4923
8084.21,4.0077
8042.11,3.9808
8042.11,4.5192
8757.89,3.9808
8757.89,4.5192
8084.21,4.5192
8715.79,4.5192
8715.79,3.9808
8084.21,3.9808
8673.68,4.5462
8126.32,4.5462
8673.68,3.9538
8126.32,3.9538
8042.11,4.5462
8042.11,3.9538
8757.89,4.5462
8757.89,3.9538
8084.21,4.5462
8715.79,3.9538
8715.79,4.5462
8084.21,3.9538
8378.95,4.5731
8378.95,3.9269
8421.05,4.5731
8421.05,3.9269
8336.84,4.5731
8336.84,3.9269
8463.16,3.9269
8463.16,4.5731
8294.74,4.5731
8505.26,3.9269
8294.74,3.9269
8505.26,4.5731
8252.63,3.9269
8252.63,4.5731
8547.37,3.9269
8547.37,4.5731
8589.47,3.9269
8210.53,3.9269
8210.53,4.5731
8589.47,4.5731
8631.58,3.9269
8631.58,4.5731
8168.42,4.5731
8168.42,3.9269
8673.68,4.5731
8126.32,4.5731
8673.68,3.9269
8126.32,3.9269
8084.21,4.5731
8715.79,3.9269
8084.21,3.9269
8715.79,4.5731
8042.11,3.9269
8757.89,4.5731
8757.89,3.9269
8042.11,4.5731
8421.05,3.9000
8421.05,4.6000
8378.95,3.9000
8378.95,4.6000
8336.84,4.6000
8336.84,3.9000
8463.16,4.6000
8463.16,3.9000
8294.74,4.6000
8294.74,3.9000
8505.26,3.9000
8505.26,4.6000
8252.63,4.6000
8547.37,3.9000
8547.37,4.6000
8252.63,3.9000
8210.53,4.6000
8210.53,3.9000
8589.47,4.6000
8589.47,3.9000
8168.42,3.9000
8631.58,4.6000
8168.42,4.6000
8631.58,3.9000
8673.68,4.6000
8126.32,3.9000
8673.68,3.9000
8126.32,4.6000
8084.21,3.9000
8715.79,4.6000
8084.21,4.6000
8715.79,3.9000
8042.11,4.6000
8757.89,3.9000
8757.89,4.6000
8042.11,3.9000
