Teff,logg
8412.12,4.4657
8274.75,4.5081
8686.87,4.5434
8678.79,4.5859
8088.89,4.5222
8088.89,4.5293
8484.85,4.4798
8420.20,4.4798
8727.27,4.5646
8622.22,4.4798
8581.82,4.4657
8589.90,4.4869
8783.84,4.5576
8670.71,4.5717
8783.84,4.1970
8315.15,4.5152
8420.20,4.4727
8517.17,4.4798
8686.87,4.5364
8670.71,4.5646
8727.27,4.5434
8662.63,4.1899
8412.12,4.4869
8783.84,4.1545
8573.74,4.4727
8008.08,4.5859
8654.55,4.1828
8678.79,4.5576
8638.38,4.5859
8323.23,4.5293
8727.27,4.5576
8008.08,4.5788
8775.76,4.5505
8210.10,4.5293
8727.27,4.5505
8517.17,4.4727
8509.09,4.4657
8686.87,4.5293
8210.10,4.5222
8711.11,4.1545
8711.11,4.1970
8719.19,4.5788
8509.09,4.4869
8775.76,4.5364
8678.79,4.5788
8622.22,4.5929
8573.74,4.4798
8711.11,4.5222
8282.83,4.5081
8258.59,4.5152
8686.87,4.5505
8751.52,4.1687
8791.92,4.5222
8775.76,4.5434
8282.83,4.5364
8791.92,4.5576
8719.19,4.5293
8678.79,4.5717
8719.19,4.5717
8783.84,4.5293
8751.52,4.1899
8638.38,4.5717
8614.14,4.4727
8678.79,4.5646
8581.82,4.5788
8686.87,4.5859
8783.84,4.5505
8412.12,4.4727
8719.19,4.5646
8589.90,4.5717
8759.60,4.1899
8614.14,4.4798
8678.79,4.1616
8711.11,4.5859
8791.92,4.1970
8581.82,4.5859
8638.38,4.5788
8719.19,4.5364
8412.12,4.4798
8727.27,4.1616
8315.15,4.5364
8767.68,4.1616
8743.43,4.1687
8290.91,4.5081
8581.82,4.4798
8719.19,4.5576
8719.19,4.5434
8589.90,4.4657
8274.75,4.5293
8509.09,4.4798
8509.09,4.4727
8719.19,4.5505
8581.82,4.4727
8767.68,4.1899
8670.71,4.1899
8686.87,4.5788
8266.67,4.5222
8791.92,4.1545
8589.90,4.5929
8686.87,4.5576
8315.15,4.5222
8783.84,4.5364
8783.84,4.5434
8743.43,4.1899
8662.63,4.1758
8759.60,4.1687
8686.87,4.5717
8711.11,4.5788
8751.52,4.1758
8711.11,4.5293
8630.30,4.5717
8266.67,4.5152
8791.92,4.5505
8670.71,4.1687
8686.87,4.5646
8589.90,4.4798
8711.11,4.5717
8630.30,4.5859
8791.92,4.5293
8315.15,4.5293
8775.76,4.1899
8711.11,4.5646
8614.14,4.5929
8751.52,4.1828
8759.60,4.1758
8290.91,4.5364
8711.11,4.5364
8589.90,4.4727
8662.63,4.1828
8622.22,4.5717
8759.60,4.1828
8711.11,4.5576
8791.92,4.5434
8735.35,4.1687
8711.11,4.5505
8711.11,4.5434
8274.75,4.5152
8630.30,4.5788
8775.76,4.1616
8735.35,4.1899
8791.92,4.5364
8678.79,4.1899
8614.14,4.5717
8767.68,4.1828
8282.83,4.5293
8719.19,4.1616
8743.43,4.1758
8274.75,4.5222
8767.68,4.1687
8589.90,4.5788
8783.84,4.1899
8282.83,4.5152
8767.68,4.1758
8727.27,4.1899
8686.87,4.1616
8743.43,4.1828
8290.91,4.5152
8622.22,4.5859
8775.76,4.1828
8589.90,4.5859
8282.83,4.5222
8622.22,4.5788
8686.87,4.1899
8783.84,4.1616
8719.19,4.1899
8290.91,4.5293
8670.71,4.1758
8670.71,4.1828
8727.27,4.1687
8678.79,4.1687
8791.92,4.1899
8775.76,4.1687
8735.35,4.1758
8290.91,4.5222
8775.76,4.1758
8711.11,4.1616
8614.14,4.5788
8711.11,4.1899
8735.35,4.1828
8614.14,4.5859
8783.84,4.1828
8791.92,4.1616
8678.79,4.1828
8719.19,4.1687
8727.27,4.1828
8783.84,4.1687
8678.79,4.1758
8727.27,4.1758
8783.84,4.1758
8686.87,4.1687
8686.87,4.1828
8791.92,4.1828
8719.19,4.1828
8719.19,4.1758
8711.11,4.1687
8686.87,4.1758
8791.92,4.1687
8711.11,4.1828
8791.92,4.1758
8711.11,4.1758
